"","Region","Year","Type.of.Animal","value"
"649","State","1988","Heifers in calf",235.3
"650","Midlands and East","1988","Heifers in calf",40.5
"651","South-East (IRL)","1988","Heifers in calf",62.6
"652","South-West (IRL)","1988","Heifers in calf",71.8
"653","West","1988","Heifers in calf",35.7
"654","North West","1988","Heifers in calf",24.6
"655","State","1989","Heifers in calf",229.8
"656","Midlands and East","1989","Heifers in calf",40.5
"657","South-East (IRL)","1989","Heifers in calf",61.5
"658","South-West (IRL)","1989","Heifers in calf",70.3
"659","West","1989","Heifers in calf",33.4
"660","North West","1989","Heifers in calf",24
"661","State","1990","Heifers in calf",227.2
"662","Midlands and East","1990","Heifers in calf",38.7
"663","South-East (IRL)","1990","Heifers in calf",61.6
"664","South-West (IRL)","1990","Heifers in calf",67.9
"665","West","1990","Heifers in calf",33.8
"666","North West","1990","Heifers in calf",25.2
"667","State","1991","Heifers in calf",179.8
"668","Midlands and East","1991","Heifers in calf",32.1
"669","South-East (IRL)","1991","Heifers in calf",49.3
"670","South-West (IRL)","1991","Heifers in calf",55.1
"671","West","1991","Heifers in calf",25
"672","North West","1991","Heifers in calf",18.4
"673","State","1992","Heifers in calf",269
"674","Midlands and East","1992","Heifers in calf",42.7
"675","South-East (IRL)","1992","Heifers in calf",71
"676","South-West (IRL)","1992","Heifers in calf",83.1
"677","West","1992","Heifers in calf",42.3
"678","North West","1992","Heifers in calf",29.9
"679","State","1993","Heifers in calf",299.4
"680","Midlands and East","1993","Heifers in calf",45.5
"681","South-East (IRL)","1993","Heifers in calf",73.6
"682","South-West (IRL)","1993","Heifers in calf",100.6
"683","West","1993","Heifers in calf",45.2
"684","North West","1993","Heifers in calf",34.5
"685","State","1994","Heifers in calf",305.4
"686","Midlands and East","1994","Heifers in calf",46.6
"687","South-East (IRL)","1994","Heifers in calf",78.4
"688","South-West (IRL)","1994","Heifers in calf",106
"689","West","1994","Heifers in calf",41.2
"690","North West","1994","Heifers in calf",33.2
"691","State","1995","Heifers in calf",341.3
"692","Midlands and East","1995","Heifers in calf",52.1
"693","South-East (IRL)","1995","Heifers in calf",83.1
"694","South-West (IRL)","1995","Heifers in calf",117.2
"695","West","1995","Heifers in calf",49.5
"696","North West","1995","Heifers in calf",39.4
"697","State","1996","Heifers in calf",360.2
"698","Midlands and East","1996","Heifers in calf",53.9
"699","South-East (IRL)","1996","Heifers in calf",86.3
"700","South-West (IRL)","1996","Heifers in calf",122.8
"701","West","1996","Heifers in calf",55.1
"702","North West","1996","Heifers in calf",42.2
"703","State","1997","Heifers in calf",387.4
"704","Midlands and East","1997","Heifers in calf",57.5
"705","South-East (IRL)","1997","Heifers in calf",89.4
"706","South-West (IRL)","1997","Heifers in calf",131.6
"707","West","1997","Heifers in calf",61.7
"708","North West","1997","Heifers in calf",47.1
"709","State","1998","Heifers in calf",355.5
"710","Midlands and East","1998","Heifers in calf",56
"711","South-East (IRL)","1998","Heifers in calf",80.9
"712","South-West (IRL)","1998","Heifers in calf",119.3
"713","West","1998","Heifers in calf",53.6
"714","North West","1998","Heifers in calf",45.6
"715","State","1999","Heifers in calf",330.1
"716","Midlands and East","1999","Heifers in calf",53.8
"717","South-East (IRL)","1999","Heifers in calf",78.5
"718","South-West (IRL)","1999","Heifers in calf",110.6
"719","West","1999","Heifers in calf",47.3
"720","North West","1999","Heifers in calf",40
"721","State","1980","Dairy heifers in calf",219.9
"722","Midlands and East","1980","Dairy heifers in calf",32.6
"723","South-East (IRL)","1980","Dairy heifers in calf",62.7
"724","South-West (IRL)","1980","Dairy heifers in calf",85.7
"725","West","1980","Dairy heifers in calf",21.9
"726","North West","1980","Dairy heifers in calf",17.1
"727","State","1981","Dairy heifers in calf",212.1
"728","Midlands and East","1981","Dairy heifers in calf",32.5
"729","South-East (IRL)","1981","Dairy heifers in calf",61.1
"730","South-West (IRL)","1981","Dairy heifers in calf",78.9
"731","West","1981","Dairy heifers in calf",22.2
"732","North West","1981","Dairy heifers in calf",17.5
"733","State","1982","Dairy heifers in calf",191.2
"734","Midlands and East","1982","Dairy heifers in calf",29.2
"735","South-East (IRL)","1982","Dairy heifers in calf",54.7
"736","South-West (IRL)","1982","Dairy heifers in calf",71.6
"737","West","1982","Dairy heifers in calf",20.5
"738","North West","1982","Dairy heifers in calf",15.1
"739","State","1983","Dairy heifers in calf",195.3
"740","Midlands and East","1983","Dairy heifers in calf",30.2
"741","South-East (IRL)","1983","Dairy heifers in calf",56.3
"742","South-West (IRL)","1983","Dairy heifers in calf",72.4
"743","West","1983","Dairy heifers in calf",20.1
"744","North West","1983","Dairy heifers in calf",16.3
"745","State","1984","Dairy heifers in calf",195.1
"746","Midlands and East","1984","Dairy heifers in calf",29.4
"747","South-East (IRL)","1984","Dairy heifers in calf",56.6
"748","South-West (IRL)","1984","Dairy heifers in calf",73
"749","West","1984","Dairy heifers in calf",19.4
"750","North West","1984","Dairy heifers in calf",16.7
"751","State","1985","Dairy heifers in calf",184.9
"752","Midlands and East","1985","Dairy heifers in calf",29.8
"753","South-East (IRL)","1985","Dairy heifers in calf",50.3
"754","South-West (IRL)","1985","Dairy heifers in calf",68.2
"755","West","1985","Dairy heifers in calf",20
"756","North West","1985","Dairy heifers in calf",16.6
"757","State","1986","Dairy heifers in calf",165.4
"758","Midlands and East","1986","Dairy heifers in calf",26.4
"759","South-East (IRL)","1986","Dairy heifers in calf",45.2
"760","South-West (IRL)","1986","Dairy heifers in calf",61.4
"761","West","1986","Dairy heifers in calf",17.1
"762","North West","1986","Dairy heifers in calf",15.4
"763","State","1987","Dairy heifers in calf",156.7
"764","Midlands and East","1987","Dairy heifers in calf",25.4
"765","South-East (IRL)","1987","Dairy heifers in calf",41.5
"766","South-West (IRL)","1987","Dairy heifers in calf",57.5
"767","West","1987","Dairy heifers in calf",18.2
"768","North West","1987","Dairy heifers in calf",14.1
"769","State","1988","Dairy heifers in calf",170.9
"770","Midlands and East","1988","Dairy heifers in calf",28.8
"771","South-East (IRL)","1988","Dairy heifers in calf",46
"772","South-West (IRL)","1988","Dairy heifers in calf",62.1
"773","West","1988","Dairy heifers in calf",18.9
"774","North West","1988","Dairy heifers in calf",15.1
"775","State","1989","Dairy heifers in calf",161.4
"776","Midlands and East","1989","Dairy heifers in calf",28.1
"777","South-East (IRL)","1989","Dairy heifers in calf",42.6
"778","South-West (IRL)","1989","Dairy heifers in calf",59.5
"779","West","1989","Dairy heifers in calf",16.9
"780","North West","1989","Dairy heifers in calf",14.2
"781","State","1990","Dairy heifers in calf",158.6
"782","Midlands and East","1990","Dairy heifers in calf",26.3
"783","South-East (IRL)","1990","Dairy heifers in calf",44.8
"784","South-West (IRL)","1990","Dairy heifers in calf",56.4
"785","West","1990","Dairy heifers in calf",17.1
"786","North West","1990","Dairy heifers in calf",14
"787","State","1991","Dairy heifers in calf",129.7
"788","Midlands and East","1991","Dairy heifers in calf",22.3
"789","South-East (IRL)","1991","Dairy heifers in calf",38.8
"790","South-West (IRL)","1991","Dairy heifers in calf",46.8
"791","West","1991","Dairy heifers in calf",11.2
"792","North West","1991","Dairy heifers in calf",10.6
"793","State","1992","Dairy heifers in calf",174.5
"794","Midlands and East","1992","Dairy heifers in calf",26.5
"795","South-East (IRL)","1992","Dairy heifers in calf",49
"796","South-West (IRL)","1992","Dairy heifers in calf",66.7
"797","West","1992","Dairy heifers in calf",17.8
"798","North West","1992","Dairy heifers in calf",14.6
"799","State","1993","Dairy heifers in calf",187.9
"800","Midlands and East","1993","Dairy heifers in calf",27.9
"801","South-East (IRL)","1993","Dairy heifers in calf",50.5
"802","South-West (IRL)","1993","Dairy heifers in calf",76.3
"803","West","1993","Dairy heifers in calf",17.3
"804","North West","1993","Dairy heifers in calf",15.9
"805","State","1994","Dairy heifers in calf",203.9
"806","Midlands and East","1994","Dairy heifers in calf",29.8
"807","South-East (IRL)","1994","Dairy heifers in calf",56.1
"808","South-West (IRL)","1994","Dairy heifers in calf",82.8
"809","West","1994","Dairy heifers in calf",18.2
"810","North West","1994","Dairy heifers in calf",16.9
"811","State","1995","Dairy heifers in calf",224.1
"812","Midlands and East","1995","Dairy heifers in calf",32.5
"813","South-East (IRL)","1995","Dairy heifers in calf",59.3
"814","South-West (IRL)","1995","Dairy heifers in calf",92.3
"815","West","1995","Dairy heifers in calf",19.9
"816","North West","1995","Dairy heifers in calf",20
"817","State","1996","Dairy heifers in calf",231.4
"818","Midlands and East","1996","Dairy heifers in calf",31.2
"819","South-East (IRL)","1996","Dairy heifers in calf",61.2
"820","South-West (IRL)","1996","Dairy heifers in calf",98
"821","West","1996","Dairy heifers in calf",20.4
"822","North West","1996","Dairy heifers in calf",20.7
"823","State","1997","Dairy heifers in calf",243.9
"824","Midlands and East","1997","Dairy heifers in calf",34.6
"825","South-East (IRL)","1997","Dairy heifers in calf",64.1
"826","South-West (IRL)","1997","Dairy heifers in calf",101.4
"827","West","1997","Dairy heifers in calf",21.6
"828","North West","1997","Dairy heifers in calf",22.2
"829","State","1998","Dairy heifers in calf",228.8
"830","Midlands and East","1998","Dairy heifers in calf",31.9
"831","South-East (IRL)","1998","Dairy heifers in calf",59.1
"832","South-West (IRL)","1998","Dairy heifers in calf",93.9
"833","West","1998","Dairy heifers in calf",21.3
"834","North West","1998","Dairy heifers in calf",22.6
"835","State","1999","Dairy heifers in calf",213.6
"836","Midlands and East","1999","Dairy heifers in calf",31.5
"837","South-East (IRL)","1999","Dairy heifers in calf",57.3
"838","South-West (IRL)","1999","Dairy heifers in calf",86.7
"839","West","1999","Dairy heifers in calf",18
"840","North West","1999","Dairy heifers in calf",20.2
"841","State","1980","Other heifers in calf",45.2
"842","Midlands and East","1980","Other heifers in calf",9.9
"843","South-East (IRL)","1980","Other heifers in calf",9.5
"844","South-West (IRL)","1980","Other heifers in calf",6.7
"845","West","1980","Other heifers in calf",11.9
"846","North West","1980","Other heifers in calf",7.3
"847","State","1981","Other heifers in calf",46.3
"848","Midlands and East","1981","Other heifers in calf",10
"849","South-East (IRL)","1981","Other heifers in calf",9.7
"850","South-West (IRL)","1981","Other heifers in calf",6.2
"851","West","1981","Other heifers in calf",13
"852","North West","1981","Other heifers in calf",7.5
"853","State","1982","Other heifers in calf",46.5
"854","Midlands and East","1982","Other heifers in calf",9.9
"855","South-East (IRL)","1982","Other heifers in calf",9.9
"856","South-West (IRL)","1982","Other heifers in calf",6.4
"857","West","1982","Other heifers in calf",13.1
"858","North West","1982","Other heifers in calf",7.2
"859","State","1983","Other heifers in calf",47.4
"860","Midlands and East","1983","Other heifers in calf",10
"861","South-East (IRL)","1983","Other heifers in calf",10.2
"862","South-West (IRL)","1983","Other heifers in calf",6.7
"863","West","1983","Other heifers in calf",13
"864","North West","1983","Other heifers in calf",7.6
"865","State","1984","Other heifers in calf",47.2
"866","Midlands and East","1984","Other heifers in calf",8.9
"867","South-East (IRL)","1984","Other heifers in calf",10.7
"868","South-West (IRL)","1984","Other heifers in calf",7
"869","West","1984","Other heifers in calf",12.8
"870","North West","1984","Other heifers in calf",7.8
"871","State","1985","Other heifers in calf",48.7
"872","Midlands and East","1985","Other heifers in calf",8.4
"873","South-East (IRL)","1985","Other heifers in calf",10.7
"874","South-West (IRL)","1985","Other heifers in calf",7.4
"875","West","1985","Other heifers in calf",14.3
"876","North West","1985","Other heifers in calf",8
"877","State","1986","Other heifers in calf",45.4
"878","Midlands and East","1986","Other heifers in calf",8.4
"879","South-East (IRL)","1986","Other heifers in calf",10
"880","South-West (IRL)","1986","Other heifers in calf",7
"881","West","1986","Other heifers in calf",12.6
"882","North West","1986","Other heifers in calf",7.4
"883","State","1987","Other heifers in calf",49.2
"884","Midlands and East","1987","Other heifers in calf",8.1
"885","South-East (IRL)","1987","Other heifers in calf",12.4
"886","South-West (IRL)","1987","Other heifers in calf",7.4
"887","West","1987","Other heifers in calf",13.1
"888","North West","1987","Other heifers in calf",8.1
"889","State","1988","Other heifers in calf",64.4
"890","Midlands and East","1988","Other heifers in calf",11.6
"891","South-East (IRL)","1988","Other heifers in calf",16.7
"892","South-West (IRL)","1988","Other heifers in calf",9.7
"893","West","1988","Other heifers in calf",16.8
"894","North West","1988","Other heifers in calf",9.6
"895","State","1989","Other heifers in calf",68.5
"896","Midlands and East","1989","Other heifers in calf",12.4
"897","South-East (IRL)","1989","Other heifers in calf",18.9
"898","South-West (IRL)","1989","Other heifers in calf",10.8
"899","West","1989","Other heifers in calf",16.5
"900","North West","1989","Other heifers in calf",9.8
"901","State","1990","Other heifers in calf",68.6
"902","Midlands and East","1990","Other heifers in calf",12.4
"903","South-East (IRL)","1990","Other heifers in calf",16.8
"904","South-West (IRL)","1990","Other heifers in calf",11.6
"905","West","1990","Other heifers in calf",16.7
"906","North West","1990","Other heifers in calf",11.2
"907","State","1991","Other heifers in calf",50.1
"908","Midlands and East","1991","Other heifers in calf",9.8
"909","South-East (IRL)","1991","Other heifers in calf",10.5
"910","South-West (IRL)","1991","Other heifers in calf",8.3
"911","West","1991","Other heifers in calf",13.8
"912","North West","1991","Other heifers in calf",7.8
"913","State","1992","Other heifers in calf",94.5
"914","Midlands and East","1992","Other heifers in calf",16.1
"915","South-East (IRL)","1992","Other heifers in calf",22
"916","South-West (IRL)","1992","Other heifers in calf",16.5
"917","West","1992","Other heifers in calf",24.5
"918","North West","1992","Other heifers in calf",15.3
